center,left,right,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
images/center/0.jpeg,images/left/0.jpeg,images/right/0.jpeg,0,0,0,0,0,0
images/center/1.jpeg,images/left/1.jpeg,images/right/1.jpeg,0,0,0,0,0,0
images/center/2.jpeg,images/left/2.jpeg,images/right/2.jpeg,0,0,0,0,0,0
images/center/3.jpeg,images/left/3.jpeg,images/right/3.jpeg,0,0,0,0,0,0
images/center/4.jpeg,images/left/4.jpeg,images/right/4.jpeg,0,0,0,0,0,0
images/center/5.jpeg,images/left/5.jpeg,images/right/5.jpeg,0,0,0,0,0,0
images/center/6.jpeg,images/left/6.jpeg,images/right/6.jpeg,0,0,0,0,0,0
images/center/7.jpeg,images/left/7.jpeg,images/right/7.jpeg,0,0,0,0,0,0
images/center/8.jpeg,images/left/8.jpeg,images/right/8.jpeg,0,0,0,0,0,0
images/center/9.jpeg,images/left/9.jpeg,images/right/9.jpeg,0,0,0,0,0,0
images/center/10.jpeg,images/left/10.jpeg,images/right/10.jpeg,0,0,0,0,0,0
images/center/11.jpeg,images/left/11.jpeg,images/right/11.jpeg,0,0,0,0,0,0
images/center/12.jpeg,images/left/12.jpeg,images/right/12.jpeg,0,0,0,0,0,0
images/center/13.jpeg,images/left/13.jpeg,images/right/13.jpeg,0,0,0,0,0,0
images/center/14.jpeg,images/left/14.jpeg,images/right/14.jpeg,0,0,0,0,0,0
images/center/15.jpeg,images/left/15.jpeg,images/right/15.jpeg,0,0,0,0,0,0
images/center/16.jpeg,images/left/16.jpeg,images/right/16.jpeg,0,0,0,0,0,0
images/center/17.jpeg,images/left/17.jpeg,images/right/17.jpeg,0,0,0,0,0,0
images/center/17.jpeg,images/left/18.jpeg,images/right/18.jpeg,0,0,0,0,0,0
images/center/19.jpeg,images/left/19.jpeg,images/right/19.jpeg,0,0,0,0,0,0
images/center/20.jpeg,images/left/20.jpeg,images/right/20.jpeg,0,0,0,0,0,0
images/center/21.jpeg,images/left/21.jpeg,images/right/21.jpeg,0,0,0,0,0,0
images/center/22.jpeg,images/left/22.jpeg,images/right/22.jpeg,0,0,0,0,0,0
images/center/23.jpeg,images/left/23.jpeg,images/right/23.jpeg,0,0,0,0,0,0
images/center/24.jpeg,images/left/24.jpeg,images/right/24.jpeg,0,0,0,0,0,0
images/center/25.jpeg,images/left/25.jpeg,images/right/25.jpeg,0,0,0,0,0,0
images/center/26.jpeg,images/left/26.jpeg,images/right/26.jpeg,0,0,0,0,0,0
images/center/27.jpeg,images/left/27.jpeg,images/right/27.jpeg,0,0,0,0,0,0
images/center/28.jpeg,images/left/28.jpeg,images/right/28.jpeg,0,0,0,0,0,0
images/center/29.jpeg,images/left/29.jpeg,images/right/29.jpeg,0,0,0,0,0,0
images/center/30.jpeg,images/left/30.jpeg,images/right/30.jpeg,0,0,0,0,0,0
images/center/31.jpeg,images/left/31.jpeg,images/right/31.jpeg,0,0,0,0,0,0
images/center/32.jpeg,images/left/32.jpeg,images/right/32.jpeg,0,0,0,0,0,0
images/center/33.jpeg,images/left/33.jpeg,images/right/33.jpeg,0,0,0,0,0,0
images/center/34.jpeg,images/left/34.jpeg,images/right/34.jpeg,0,0,0,0,0,0
images/center/35.jpeg,images/left/35.jpeg,images/right/35.jpeg,0,0,0,0,0,0
images/center/36.jpeg,images/left/36.jpeg,images/right/36.jpeg,0,0,0,0,0,0
images/center/37.jpeg,images/left/37.jpeg,images/right/37.jpeg,0,0,0,0,0,0
images/center/38.jpeg,images/left/38.jpeg,images/right/38.jpeg,0.5,0,0,0,0,0
images/center/39.jpeg,images/left/39.jpeg,images/right/39.jpeg,0.5,0,0,0,0,0
